Year,Label,US_Total,US_Male_Percent,US_Female_Percent,US_Total_Median_Earnings ,US_Median_Earnings_Male,US_Median_Earnings_Female,US_Total_Earnings_Male,US_Total_Earnings_Female
2017,Civilian employed population 16 years and over,"155,058,331",52.50%,47.50%,0,0,0,"81,425,002","73,633,329"
2017,"Management, business, science, and arts occupations:","59,160,458",47.30%,52.70%,0,0,0,"27,984,748","31,175,710"
2017,"    Management, business, and financial occupations:","24,009,493",54.90%,45.10%,0,0,0,"13,178,453","10,831,040"
2017,        Management occupations,"16,332,467",59.70%,40.30%,0,0,0,"9,746,661","6,585,806"
2017,        Business and financial operations occupations,"7,677,026",44.70%,55.30%,0,0,0,"3,431,792","4,245,234"
2017,"    Computer, engineering, and science occupations:","8,925,990",74.30%,25.70%,0,0,0,"6,631,377","2,294,613"
2017,        Computer and mathematical occupations,"4,710,650",74.60%,25.40%,0,0,0,"3,512,106","1,198,544"
2017,        Architecture and engineering occupations,"2,857,463",84.30%,15.70%,0,0,0,"2,409,420","448,043"
2017,"        Life, physical, and social science occupations","1,357,877",52.30%,47.70%,0,0,0,"709,851","648,026"
2017,"    Education, legal, community service, arts, and media occupations:","16,852,852",34.80%,65.20%,0,0,0,"5,867,487","10,985,365"
2017,        Community and social services occupations,"2,709,029",33.80%,66.20%,0,0,0,"916,134","1,792,895"
2017,        Legal occupations,"1,702,542",47.80%,52.20%,0,0,0,"814,264","888,278"
2017,"        Education, training, and library occupations","9,289,193",26.90%,73.10%,0,0,0,"2,501,280","6,787,913"
2017,"        Arts, design, entertainment, sports, and media occupations","3,152,088",51.90%,48.10%,0,0,0,"1,635,809","1,516,279"
2017,    Healthcare practitioner and technical occupations:,"9,372,123",24.60%,75.40%,0,0,0,"2,307,431","7,064,692"
2017,        Health diagnosing and treating practitioners and other technical occupations,"6,346,928",25.60%,74.40%,0,0,0,"1,624,690","4,722,238"
2017,        Health technologists and technicians,"3,025,195",22.60%,77.40%,0,0,0,"682,741","2,342,454"
2017,Service occupations:,"27,736,071",43.60%,56.40%,0,0,0,"12,100,587","15,635,484"
2017,    Healthcare support occupations,"3,592,883",13.50%,86.50%,0,0,0,"486,471","3,106,412"
2017,    Protective service occupations:,"3,247,935",77.60%,22.40%,0,0,0,"2,519,952","727,983"
2017,"        Fire fighting and prevention, and other protective service workers including supervisors","1,785,686",75.40%,24.60%,0,0,0,"1,346,364","439,322"
2017,        Law enforcement workers including supervisors,"1,462,249",80.30%,19.70%,0,0,0,"1,173,588","288,661"
2017,    Food preparation and serving related occupations,"9,025,239",46.20%,53.80%,0,0,0,"4,166,265","4,858,974"
2017,    Building and grounds cleaning and maintenance occupations,"6,011,119",60.00%,40.00%,0,0,0,"3,608,110","2,403,009"
2017,    Personal care and service occupations,"5,858,895",22.50%,77.50%,0,0,0,"1,319,789","4,539,106"
2017,Sales and office occupations:,"35,540,722",38.60%,61.40%,0,0,0,"13,723,101","21,817,621"
2017,    Sales and related occupations,"15,870,822",50.20%,49.80%,0,0,0,"7,971,551","7,899,271"
2017,    Office and administrative support occupations,"19,669,900",29.20%,70.80%,0,0,0,"5,751,550","13,918,350"
2017,"Natural resources, construction, and maintenance occupations:","13,743,035",94.90%,5.10%,0,0,0,"13,047,259","695,776"
2017,"    Farming, fishing, and forestry occupations","1,049,466",75.60%,24.40%,0,0,0,"793,111","256,355"
2017,    Construction and extraction occupations,"7,987,832",96.80%,3.20%,0,0,0,"7,732,164","255,668"
2017,"    Installation, maintenance, and repair occupations","4,705,737",96.10%,3.90%,0,0,0,"4,521,984","183,753"
2017,"Production, transportation, and material moving occupations:","18,878,045",77.20%,22.80%,0,0,0,"14,569,307","4,308,738"
2017,    Production occupations,"8,876,641",71.20%,28.80%,0,0,0,"6,319,630","2,557,011"
2017,    Transportation occupations,"5,846,372",85.40%,14.60%,0,0,0,"4,992,506","853,866"
2017,    Material moving occupations,"4,155,032",78.40%,21.60%,0,0,0,"3,257,171","897,861"
