Year,Label,US_Total,US_Male_Percent,US_Female_Percent,US_Total_Median_Earnings ,US_Median_Earnings_Male,US_Median_Earnings_Female,US_Total_Earnings_Male,US_Total_Earnings_Female
2019,Civilian employed population 16 years and over,"158,758,794",52.30%,47.70%,0,0,0,"83,061,060","75,697,734"
2019,"    Management, business, science, and arts occupations:","63,267,357",47.20%,52.80%,0,0,0,"29,841,855","33,425,502"
2019,"        Management, business, and financial occupations:","25,587,202",54.30%,45.70%,0,0,0,"13,883,359","11,703,843"
2019,            Management occupations,"17,049,444",58.60%,41.40%,0,0,0,"9,993,197","7,056,247"
2019,            Business and financial operations occupations,"8,537,758",45.60%,54.40%,0,0,0,"3,890,162","4,647,596"
2019,"        Computer, engineering, and science occupations:","10,181,740",73.10%,26.90%,0,0,0,"7,442,100","2,739,640"
2019,            Computer and mathematical occupations,"5,231,914",73.20%,26.80%,0,0,0,"3,831,913","1,400,001"
2019,            Architecture and engineering occupations,"3,283,825",83.80%,16.20%,0,0,0,"2,750,591","533,234"
2019,"            Life, physical, and social science occupations","1,666,001",51.60%,48.40%,0,0,0,"859,596","806,405"
2019,"        Education, legal, community service, arts, and media occupations:","17,741,328",34.20%,65.80%,0,0,0,"6,072,732","11,668,596"
2019,            Community and social service occupations,"2,865,705",33.40%,66.60%,0,0,0,"957,889","1,907,816"
2019,            Legal occupations,"1,804,178",47.10%,52.90%,0,0,0,"848,904","955,274"
2019,"            Educational instruction, and library occupations","9,822,473",26.60%,73.40%,0,0,0,"2,609,122","7,213,351"
2019,"            Arts, design, entertainment, sports, and media occupations","3,248,972",51.00%,49.00%,0,0,0,"1,656,817","1,592,155"
2019,        Healthcare practitioners and technical occupations:,"9,757,087",25.00%,75.00%,0,0,0,"2,443,664","7,313,423"
2019,            Health diagnosing and treating practitioners and other technical occupations,"6,648,380",25.60%,74.40%,0,0,0,"1,705,244","4,943,136"
2019,            Health technologists and technicians,"3,108,707",23.80%,76.20%,0,0,0,"738,420","2,370,287"
2019,    Service occupations:,"28,093,795",42.90%,57.10%,0,0,0,"12,056,105","16,037,690"
2019,        Healthcare support occupations,"5,348,914",14.40%,85.60%,0,0,0,"772,508","4,576,406"
2019,        Protective service occupations:,"3,447,960",76.20%,23.80%,0,0,0,"2,625,965","821,995"
2019,"            Firefighting and prevention, and other protective service workers including supervisors","1,935,137",73.40%,26.60%,0,0,0,"1,420,143","514,994"
2019,            Law enforcement workers including supervisors,"1,512,823",79.70%,20.30%,0,0,0,"1,205,822","307,001"
2019,        Food preparation and serving related occupations,"9,029,677",45.70%,54.30%,0,0,0,"4,130,552","4,899,125"
2019,        Building and grounds cleaning and maintenance occupations,"5,878,084",58.50%,41.50%,0,0,0,"3,438,608","2,439,476"
2019,        Personal care and service occupations,"4,389,160",24.80%,75.20%,0,0,0,"1,088,472","3,300,688"
2019,    Sales and office occupations:,"32,354,582",36.90%,63.10%,0,0,0,"11,951,048","20,403,534"
2019,        Sales and related occupations,"15,514,456",49.30%,50.70%,0,0,0,"7,652,450","7,862,006"
2019,        Office and administrative support occupations,"16,840,126",25.50%,74.50%,0,0,0,"4,298,598","12,541,528"
2019,"    Natural resources, construction, and maintenance occupations:","14,041,340",94.90%,5.10%,0,0,0,"13,322,201","719,139"
2019,"        Farming, fishing, and forestry occupations","997,360",75.80%,24.20%,0,0,0,"755,724","241,636"
2019,        Construction and extraction occupations,"8,181,101",96.60%,3.40%,0,0,0,"7,903,132","277,969"
2019,"        Installation, maintenance, and repair occupations","4,862,879",95.90%,4.10%,0,0,0,"4,663,345","199,534"
2019,"    Production, transportation, and material moving occupations:","21,001,720",75.70%,24.30%,0,0,0,"15,889,851","5,111,869"
2019,        Production occupations,"8,871,933",70.60%,29.40%,0,0,0,"6,259,878","2,612,055"
2019,        Transportation occupations,"6,260,219",84.90%,15.10%,0,0,0,"5,317,943","942,276"
2019,        Material moving occupations,"5,869,568",73.50%,26.50%,0,0,0,"4,312,030","1,557,538"
