"Label","United States!!Total!!Estimate","United States!!Male!!Estimate","United States!!Percent Male!!Estimate","United States!!Female!!Estimate","United States!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","150,534,773","79,120,041","52.6%","71,414,732","47.4%"
"Management, business, science, and arts occupations:","55,873,365","26,536,522","47.5%","29,336,843","52.5%"
"    Management, business, and financial occupations:","22,657,853","12,516,216","55.2%","10,141,637","44.8%"
"        Management occupations","15,436,375","9,283,974","60.1%","6,152,401","39.9%"
"        Business and financial operations occupations","7,221,478","3,232,242","44.8%","3,989,236","55.2%"
"    Computer, engineering, and science occupations:","8,276,842","6,150,785","74.3%","2,126,057","25.7%"
"        Computer and mathematical occupations","4,267,389","3,168,110","74.2%","1,099,279","25.8%"
"        Architecture and engineering occupations","2,691,570","2,283,830","84.9%","407,740","15.1%"
"        Life, physical, and social science occupations","1,317,883","698,845","53.0%","619,038","47.0%"
"    Education, legal, community service, arts, and media occupations:","16,182,850","5,692,198","35.2%","10,490,652","64.8%"
"        Community and social services occupations","2,575,707","884,494","34.3%","1,691,213","65.7%"
"        Legal occupations","1,684,406","818,563","48.6%","865,843","51.4%"
"        Education, training, and library occupations","8,957,117","2,432,305","27.2%","6,524,812","72.8%"
"        Arts, design, entertainment, sports, and media occupations","2,965,620","1,556,836","52.5%","1,408,784","47.5%"
"    Healthcare practitioner and technical occupations:","8,755,820","2,177,323","24.9%","6,578,497","75.1%"
"        Health diagnosing and treating practitioners and other technical occupations","5,894,123","1,537,843","26.1%","4,356,280","73.9%"
"        Health technologists and technicians","2,861,697","639,480","22.3%","2,222,217","77.7%"
"Service occupations:","27,047,705","11,720,432","43.3%","15,327,273","56.7%"
"    Healthcare support occupations","3,588,015","475,849","13.3%","3,112,166","86.7%"
"    Protective service occupations:","3,199,233","2,490,978","77.9%","708,255","22.1%"
"        Fire fighting and prevention, and other protective service workers including supervisors","1,768,050","1,341,784","75.9%","426,266","24.1%"
"        Law enforcement workers including supervisors","1,431,183","1,149,194","80.3%","281,989","19.7%"
"    Food preparation and serving related occupations","8,816,644","4,066,120","46.1%","4,750,524","53.9%"
"    Building and grounds cleaning and maintenance occupations","5,833,080","3,440,672","59.0%","2,392,408","41.0%"
"    Personal care and service occupations","5,610,733","1,246,813","22.2%","4,363,920","77.8%"
"Sales and office occupations:","35,511,295","13,532,011","38.1%","21,979,284","61.9%"
"    Sales and related occupations","15,966,837","7,951,334","49.8%","8,015,503","50.2%"
"    Office and administrative support occupations","19,544,458","5,580,677","28.6%","13,963,781","71.4%"
"Natural resources, construction, and maintenance occupations:","13,542,970","12,902,921","95.3%","640,049","4.7%"
"    Farming, fishing, and forestry occupations","1,102,425","850,882","77.2%","251,543","22.8%"
"    Construction and extraction occupations","7,663,198","7,444,863","97.2%","218,335","2.8%"
"    Installation, maintenance, and repair occupations","4,777,347","4,607,176","96.4%","170,171","3.6%"
"Production, transportation, and material moving occupations:","18,559,438","14,428,155","77.7%","4,131,283","22.3%"
"    Production occupations","8,970,126","6,428,556","71.7%","2,541,570","28.3%"
"    Transportation occupations","5,569,842","4,806,599","86.3%","763,243","13.7%"
"    Material moving occupations","4,019,470","3,193,000","79.4%","826,470","20.6%"
