"Label","United States!!Total!!Estimate","United States!!Male!!Estimate","United States!!Percent Male!!Estimate","United States!!Female!!Estimate","United States!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","158,758,794","83,061,060","52.3%","75,697,734","47.7%"
"    Management, business, science, and arts occupations:","63,267,357","29,841,855","47.2%","33,425,502","52.8%"
"        Management, business, and financial occupations:","25,587,202","13,883,359","54.3%","11,703,843","45.7%"
"            Management occupations","17,049,444","9,993,197","58.6%","7,056,247","41.4%"
"            Business and financial operations occupations","8,537,758","3,890,162","45.6%","4,647,596","54.4%"
"        Computer, engineering, and science occupations:","10,181,740","7,442,100","73.1%","2,739,640","26.9%"
"            Computer and mathematical occupations","5,231,914","3,831,913","73.2%","1,400,001","26.8%"
"            Architecture and engineering occupations","3,283,825","2,750,591","83.8%","533,234","16.2%"
"            Life, physical, and social science occupations","1,666,001","859,596","51.6%","806,405","48.4%"
"        Education, legal, community service, arts, and media occupations:","17,741,328","6,072,732","34.2%","11,668,596","65.8%"
"            Community and social service occupations","2,865,705","957,889","33.4%","1,907,816","66.6%"
"            Legal occupations","1,804,178","848,904","47.1%","955,274","52.9%"
"            Educational instruction, and library occupations","9,822,473","2,609,122","26.6%","7,213,351","73.4%"
"            Arts, design, entertainment, sports, and media occupations","3,248,972","1,656,817","51.0%","1,592,155","49.0%"
"        Healthcare practitioners and technical occupations:","9,757,087","2,443,664","25.0%","7,313,423","75.0%"
"            Health diagnosing and treating practitioners and other technical occupations","6,648,380","1,705,244","25.6%","4,943,136","74.4%"
"            Health technologists and technicians","3,108,707","738,420","23.8%","2,370,287","76.2%"
"    Service occupations:","28,093,795","12,056,105","42.9%","16,037,690","57.1%"
"        Healthcare support occupations","5,348,914","772,508","14.4%","4,576,406","85.6%"
"        Protective service occupations:","3,447,960","2,625,965","76.2%","821,995","23.8%"
"            Firefighting and prevention, and other protective service workers including supervisors","1,935,137","1,420,143","73.4%","514,994","26.6%"
"            Law enforcement workers including supervisors","1,512,823","1,205,822","79.7%","307,001","20.3%"
"        Food preparation and serving related occupations","9,029,677","4,130,552","45.7%","4,899,125","54.3%"
"        Building and grounds cleaning and maintenance occupations","5,878,084","3,438,608","58.5%","2,439,476","41.5%"
"        Personal care and service occupations","4,389,160","1,088,472","24.8%","3,300,688","75.2%"
"    Sales and office occupations:","32,354,582","11,951,048","36.9%","20,403,534","63.1%"
"        Sales and related occupations","15,514,456","7,652,450","49.3%","7,862,006","50.7%"
"        Office and administrative support occupations","16,840,126","4,298,598","25.5%","12,541,528","74.5%"
"    Natural resources, construction, and maintenance occupations:","14,041,340","13,322,201","94.9%","719,139","5.1%"
"        Farming, fishing, and forestry occupations","997,360","755,724","75.8%","241,636","24.2%"
"        Construction and extraction occupations","8,181,101","7,903,132","96.6%","277,969","3.4%"
"        Installation, maintenance, and repair occupations","4,862,879","4,663,345","95.9%","199,534","4.1%"
"    Production, transportation, and material moving occupations:","21,001,720","15,889,851","75.7%","5,111,869","24.3%"
"        Production occupations","8,871,933","6,259,878","70.6%","2,612,055","29.4%"
"        Transportation occupations","6,260,219","5,317,943","84.9%","942,276","15.1%"
"        Material moving occupations","5,869,568","4,312,030","73.5%","1,557,538","26.5%"
