"Label","United States!!Total!!Estimate","United States!!Male!!Estimate","United States!!Percent Male!!Estimate","United States!!Female!!Estimate","United States!!Percent Female!!Estimate"
"Civilian employed population 16 years and over","156,783,165","82,216,665","52.4%","74,566,500","47.6%"
"    Management, business, science, and arts occupations:","60,488,289","28,565,305","47.2%","31,922,984","52.8%"
"        Management, business, and financial occupations:","24,450,164","13,346,074","54.6%","11,104,090","45.4%"
"            Management occupations","15,917,316","9,435,485","59.3%","6,481,831","40.7%"
"            Business and financial operations occupations","8,532,848","3,910,589","45.8%","4,622,259","54.2%"
"        Computer, engineering, and science occupations:","9,479,155","6,976,175","73.6%","2,502,980","26.4%"
"            Computer and mathematical occupations","5,037,751","3,707,554","73.6%","1,330,197","26.4%"
"            Architecture and engineering occupations","2,952,377","2,476,598","83.9%","475,779","16.1%"
"            Life, physical, and social science occupations","1,489,027","792,023","53.2%","697,004","46.8%"
"        Education, legal, community service, arts, and media occupations:","16,961,755","5,880,249","34.7%","11,081,506","65.3%"
"            Community and social service occupations","2,695,438","913,924","33.9%","1,781,514","66.1%"
"            Legal occupations","1,723,948","836,211","48.5%","887,737","51.5%"
"            Educational instruction, and library occupations","9,360,699","2,511,072","26.8%","6,849,627","73.2%"
"            Arts, design, entertainment, sports, and media occupations","3,181,670","1,619,042","50.9%","1,562,628","49.1%"
"        Healthcare practitioners and technical occupations:","9,597,215","2,362,807","24.6%","7,234,408","75.4%"
"            Health diagnosing and treating practitioners and other technical occupations","6,455,245","1,653,351","25.6%","4,801,894","74.4%"
"            Health technologists and technicians","3,141,970","709,456","22.6%","2,432,514","77.4%"
"    Service occupations:","27,967,677","12,078,478","43.2%","15,889,199","56.8%"
"        Healthcare support occupations","5,124,231","747,119","14.6%","4,377,112","85.4%"
"        Protective service occupations:","3,318,081","2,538,104","76.5%","779,977","23.5%"
"            Firefighting and prevention, and other protective service workers including supervisors","1,848,831","1,364,307","73.8%","484,524","26.2%"
"            Law enforcement workers including supervisors","1,469,250","1,173,797","79.9%","295,453","20.1%"
"        Food preparation and serving related occupations","8,962,123","4,085,969","45.6%","4,876,154","54.4%"
"        Building and grounds cleaning and maintenance occupations","6,079,464","3,622,333","59.6%","2,457,131","40.4%"
"        Personal care and service occupations","4,483,778","1,084,953","24.2%","3,398,825","75.8%"
"    Sales and office occupations:","33,556,165","12,531,120","37.3%","21,025,045","62.7%"
"        Sales and related occupations","15,829,132","7,916,448","50.0%","7,912,684","50.0%"
"        Office and administrative support occupations","17,727,033","4,614,672","26.0%","13,112,361","74.0%"
"    Natural resources, construction, and maintenance occupations:","13,843,390","13,127,632","94.8%","715,758","5.2%"
"        Farming, fishing, and forestry occupations","1,065,645","810,893","76.1%","254,752","23.9%"
"        Construction and extraction occupations","8,078,273","7,802,271","96.6%","276,002","3.4%"
"        Installation, maintenance, and repair occupations","4,699,472","4,514,468","96.1%","185,004","3.9%"
"    Production, transportation, and material moving occupations:","20,927,644","15,914,130","76.0%","5,013,514","24.0%"
"        Production occupations","8,866,602","6,298,654","71.0%","2,567,948","29.0%"
"        Transportation occupations","6,131,868","5,232,007","85.3%","899,861","14.7%"
"        Material moving occupations","5,929,174","4,383,469","73.9%","1,545,705","26.1%"
