T17,Employment by economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male and Female,36.9700,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male and Female,21.2110,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male and Female,41.8190,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male,37.2560,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male,24.1610,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male,38.5840,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Female,36.5310,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Female,16.6780,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Female,46.7910,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male and Female,33.0450,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male and Female,22.5760,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male and Female,44.3800,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male,33.5320,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male,26.1950,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male,40.2720,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Female,32.2840,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Female,16.9310,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Female,50.7850,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male and Female,28.8720,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male and Female,23.1610,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male and Female,47.9680,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male,29.6240,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male,27.2520,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male,43.1230,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Female,27.6860,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Female,16.7150,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Female,55.5980,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2020,Employment by industry: Agriculture (%) Male and Female,26.4800,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2020,Employment by industry: Industry (%) Male and Female,23.1130,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2020,Employment by industry: Services (%) Male and Female,50.4070,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2020,Employment by industry: Agriculture (%) Male,27.1780,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2020,Employment by industry: Industry (%) Male,27.5920,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2020,Employment by industry: Services (%) Male,45.2300,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2020,Employment by industry: Agriculture (%) Female,25.3760,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2020,Employment by industry: Industry (%) Female,16.0300,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1,"Total, all countries or areas",2020,Employment by industry: Services (%) Female,58.5940,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2005,Employment by industry: Agriculture (%) Male and Female,56.6290,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2005,Employment by industry: Industry (%) Male and Female,11.5980,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2005,Employment by industry: Services (%) Male and Female,31.7730,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2005,Employment by industry: Agriculture (%) Male,53.0620,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2005,Employment by industry: Industry (%) Male,14.5160,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2005,Employment by industry: Services (%) Male,32.4230,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2005,Employment by industry: Agriculture (%) Female,61.4250,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2005,Employment by industry: Industry (%) Female,7.6750,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2005,Employment by industry: Services (%) Female,30.8990,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2010,Employment by industry: Agriculture (%) Male and Female,53.4440,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2010,Employment by industry: Industry (%) Male and Female,12.2200,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2010,Employment by industry: Services (%) Male and Female,34.3360,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2010,Employment by industry: Agriculture (%) Male,50.4390,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2010,Employment by industry: Industry (%) Male,15.5680,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2010,Employment by industry: Services (%) Male,33.9930,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2010,Employment by industry: Agriculture (%) Female,57.4920,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
